inserted_at,institution_id,in-patient,out-patient,total
2021-01-02,18cb6e95-6073-4102-989e-1b133ac99b29,0.0,8.0,8.0
2021-01-02,19adebda-8361-4267-8ab0-7fe734377602,0.0,9.0,9.0
2021-01-02,19ae2f00-60e7-4db1-8719-644820cc04df,1.0,42.0,43.0
2021-01-02,1a75706d-889a-48ab-a6c7-1fbbd70aeda8,1.0,18.0,19.0
2021-01-02,2fa0d571-e424-4ee7-ac8b-deb7792305a7,2.0,21.0,23.0
2021-01-02,33ca2840-08b5-4a3d-bad4-da63350becd9,0.0,13.0,13.0
2021-01-02,355cd89d-faa1-4620-8857-a05a24b513e3,0.0,26.0,26.0
2021-01-02,3651da1c-b313-445b-8a02-75f4b93d2f65,1.0,7.0,8.0
2021-01-02,384b1f28-514a-4a8f-8cc2-f5b2f94d7d09,1.0,10.0,11.0
2021-01-02,3bbbf782-497c-4697-abda-0a88bbee1b38,3.0,24.0,27.0
2021-01-02,43215a1a-2794-4ea9-bebd-4c09a2618e6c,0.0,5.0,5.0
2021-01-02,4389a67a-e4bb-4b93-918b-d417078736ae,0.0,17.0,17.0
2021-01-02,46412e2a-6b5f-4d0c-9562-d89c01d15259,0.0,2.0,2.0
2021-01-02,47dc4136-1684-49ed-a1da-945486345c68,0.0,7.0,7.0
2021-01-02,54a4df3e-b280-4c89-9a72-aad7f18b761b,0.0,10.0,10.0
2021-01-02,5ee1f2ed-2622-4012-8c2f-aca9f5c1af3f,2.0,45.0,47.0
2021-01-02,5f3543c7-99d3-4544-9a70-8788be90fce5,0.0,6.0,6.0
2021-01-02,658e24af-453e-4824-a049-5346a5e25964,1.0,4.0,5.0
2021-01-02,67d433c3-01fc-48b8-b86f-83c325fe51cf,2.0,49.0,51.0
2021-01-02,706652e6-6eed-4271-afe8-be8e8322e731,0.0,13.0,13.0
2021-01-02,7b71b487-8a7a-48ad-a817-0eb5b692bfe2,0.0,2.0,2.0
2021-01-02,8295dc03-9ec7-4f44-9bab-b1ea94e2eef4,0.0,2.0,2.0
2021-01-02,880c9e5b-5cb2-4662-a1db-1bbc710b7886,0.0,2.0,2.0
2021-01-02,89629d26-4538-4730-a6f1-cddda2435218,1.0,26.0,27.0
2021-01-02,92fd8fe5-2f7b-4900-a902-0f5afaacd0f0,0.0,13.0,13.0
2021-01-02,94a0a068-e4b8-4e3a-8757-5d2a627d6878,0.0,7.0,7.0
2021-01-02,98503309-e842-4f88-ae02-214a481417ba,0.0,4.0,4.0
2021-01-02,9db090cf-184b-450e-a07a-97dee812ce0d,0.0,3.0,3.0
2021-01-02,9e1484a3-0235-48c5-aeed-c44451c918fa,0.0,24.0,24.0
2021-01-02,a7058bfa-97cb-4ab0-a959-a782dd3ce6a8,1.0,8.0,9.0
2021-01-02,acc05561-603e-409d-9446-4d03353d7a5c,2.0,5.0,7.0
2021-01-02,b37cc3a6-ab60-4f74-89da-f004a87d6ff4,1.0,9.0,10.0
2021-01-02,bd9a1f13-a52c-4372-a63c-1e49bd7a7bf3,0.0,4.0,4.0
2021-01-02,bdd4965b-3cb0-443a-b8de-37c86e621d6c,0.0,4.0,4.0
2021-01-02,bf2cf4ca-dac3-4515-ad33-ef66efebeab5,0.0,12.0,12.0
2021-01-02,c2dc34b5-7a9b-4dcb-85ae-b3b6c23d823e,0.0,1.0,1.0
2021-01-02,c7d5aa80-47af-45fd-95d3-c575a44806e5,0.0,4.0,4.0
2021-01-02,cd059388-fcb3-4c40-b156-2ed1962bd47b,0.0,1.0,1.0
2021-01-02,cd756fae-c3e3-4176-a4f1-3e5360718d1d,1.0,5.0,6.0
2021-01-02,e2adc287-86ec-4341-b43d-13cb91255662,1.0,2.0,3.0
2021-01-02,e3115277-d57b-492c-bf7a-1c432ecb473b,0.0,6.0,6.0
2021-01-02,e81b1231-55bc-488a-abf3-9bf0883430ba,0.0,14.0,14.0
2021-01-02,ece0641a-2b44-4cb1-8e31-074dd5fbb4f1,0.0,12.0,12.0
2021-01-02,f0440cc7-e404-4a2c-bb0d-baf908e9ff25,1.0,12.0,13.0
2021-01-02,f7427dbb-e87d-4ed2-b168-136c244596b2,0.0,1.0,1.0
2021-01-02,f7a11005-e09a-431b-afe9-95e8ddac81d8,1.0,27.0,28.0
2021-01-03,09415354-4eb1-4866-87bb-efffe23e196a,0.0,34.0,34.0
2021-01-03,097d4418-6d7c-4922-a703-bde5a6b64919,1.0,47.0,48.0
2021-01-03,0da8e9a5-855d-42c5-9435-d69e1019cafc,0.0,4.0,4.0
2021-01-03,18cb6e95-6073-4102-989e-1b133ac99b29,0.0,4.0,4.0
2021-01-03,19adebda-8361-4267-8ab0-7fe734377602,0.0,2.0,2.0
2021-01-03,19ae2f00-60e7-4db1-8719-644820cc04df,2.0,33.0,35.0
2021-01-03,1a75706d-889a-48ab-a6c7-1fbbd70aeda8,1.0,5.0,6.0
2021-01-03,2fa0d571-e424-4ee7-ac8b-deb7792305a7,1.0,11.0,12.0
2021-01-03,33ca2840-08b5-4a3d-bad4-da63350becd9,0.0,7.0,7.0
2021-01-03,355cd89d-faa1-4620-8857-a05a24b513e3,0.0,25.0,25.0
2021-01-03,3651da1c-b313-445b-8a02-75f4b93d2f65,0.0,7.0,7.0
2021-01-03,384b1f28-514a-4a8f-8cc2-f5b2f94d7d09,3.0,5.0,8.0
2021-01-03,3bbbf782-497c-4697-abda-0a88bbee1b38,4.0,18.0,22.0
2021-01-03,4389a67a-e4bb-4b93-918b-d417078736ae,1.0,0.0,1.0
2021-01-03,4531a46a-a197-4f87-a56a-5013e21efbcb,0.0,1.0,1.0
2021-01-03,46412e2a-6b5f-4d0c-9562-d89c01d15259,0.0,4.0,4.0
2021-01-03,47dc4136-1684-49ed-a1da-945486345c68,0.0,8.0,8.0
2021-01-03,4a94ba5f-a198-47e0-8eac-817b6991a962,0.0,3.0,3.0
2021-01-03,54a4df3e-b280-4c89-9a72-aad7f18b761b,0.0,2.0,2.0
2021-01-03,5ee1f2ed-2622-4012-8c2f-aca9f5c1af3f,2.0,21.0,23.0
2021-01-03,5f3543c7-99d3-4544-9a70-8788be90fce5,0.0,6.0,6.0
2021-01-03,658e24af-453e-4824-a049-5346a5e25964,0.0,1.0,1.0
2021-01-03,67d433c3-01fc-48b8-b86f-83c325fe51cf,0.0,17.0,17.0
2021-01-03,706652e6-6eed-4271-afe8-be8e8322e731,1.0,2.0,3.0
2021-01-03,8295dc03-9ec7-4f44-9bab-b1ea94e2eef4,0.0,2.0,2.0
2021-01-03,89629d26-4538-4730-a6f1-cddda2435218,1.0,18.0,19.0
2021-01-03,92fd8fe5-2f7b-4900-a902-0f5afaacd0f0,2.0,14.0,16.0
2021-01-03,94a0a068-e4b8-4e3a-8757-5d2a627d6878,0.0,4.0,4.0
2021-01-03,9db090cf-184b-450e-a07a-97dee812ce0d,1.0,2.0,3.0
2021-01-03,9e1484a3-0235-48c5-aeed-c44451c918fa,0.0,23.0,23.0
2021-01-03,a7058bfa-97cb-4ab0-a959-a782dd3ce6a8,3.0,11.0,14.0
2021-01-03,acc05561-603e-409d-9446-4d03353d7a5c,1.0,5.0,6.0
2021-01-03,b37cc3a6-ab60-4f74-89da-f004a87d6ff4,0.0,7.0,7.0
2021-01-03,bf2cf4ca-dac3-4515-ad33-ef66efebeab5,0.0,13.0,13.0
2021-01-03,c2dc34b5-7a9b-4dcb-85ae-b3b6c23d823e,0.0,4.0,4.0
2021-01-03,cd059388-fcb3-4c40-b156-2ed1962bd47b,0.0,2.0,2.0
2021-01-03,cd756fae-c3e3-4176-a4f1-3e5360718d1d,1.0,18.0,19.0
2021-01-03,e2adc287-86ec-4341-b43d-13cb91255662,0.0,5.0,5.0
2021-01-03,e3115277-d57b-492c-bf7a-1c432ecb473b,0.0,5.0,5.0
2021-01-03,e81b1231-55bc-488a-abf3-9bf0883430ba,0.0,3.0,3.0
2021-01-03,ebb63a9f-bad7-486c-a79e-393b3d0589d2,0.0,1.0,1.0
2021-01-03,ece0641a-2b44-4cb1-8e31-074dd5fbb4f1,0.0,16.0,16.0
2021-01-03,f0440cc7-e404-4a2c-bb0d-baf908e9ff25,2.0,2.0,4.0
2021-01-03,f7427dbb-e87d-4ed2-b168-136c244596b2,0.0,2.0,2.0
2021-01-03,f7a11005-e09a-431b-afe9-95e8ddac81d8,0.0,16.0,16.0
2021-01-04,01811bcf-ec5b-4a02-a64a-0ac551f9d0ac,0.0,12.0,12.0
2021-01-04,09415354-4eb1-4866-87bb-efffe23e196a,0.0,36.0,36.0
2021-01-04,097d4418-6d7c-4922-a703-bde5a6b64919,0.0,41.0,41.0
2021-01-04,0da8e9a5-855d-42c5-9435-d69e1019cafc,2.0,10.0,12.0
2021-01-04,0fa2e546-c292-4060-a05e-beb53fc31e72,0.0,15.0,15.0
2021-01-04,10ea7f56-d729-472f-a364-d0c796647abf,0.0,1.0,1.0
2021-01-04,18cb6e95-6073-4102-989e-1b133ac99b29,0.0,26.0,26.0
2021-01-04,19adebda-8361-4267-8ab0-7fe734377602,0.0,4.0,4.0
2021-01-04,19ae2f00-60e7-4db1-8719-644820cc04df,1.0,54.0,55.0
2021-01-04,19ae8e3b-075d-4caa-bdb7-535a971e6505,0.0,22.0,22.0
2021-01-04,1a75706d-889a-48ab-a6c7-1fbbd70aeda8,0.0,6.0,6.0
2021-01-04,23533011-6b2e-4aaf-a992-85fcf7bf04d9,0.0,48.0,48.0
2021-01-04,26178dc4-126c-40b5-aa5f-d87e9423d650,0.0,3.0,3.0
2021-01-04,26d4a16f-7684-413c-83d6-0efeb5f02cea,0.0,1.0,1.0
2021-01-04,29020005-046d-4f92-9999-04738b934b0f,0.0,3.0,3.0
2021-01-04,2fa0d571-e424-4ee7-ac8b-deb7792305a7,2.0,42.0,44.0
2021-01-04,33ca2840-08b5-4a3d-bad4-da63350becd9,1.0,7.0,8.0
2021-01-04,355cd89d-faa1-4620-8857-a05a24b513e3,0.0,22.0,22.0
2021-01-04,3651da1c-b313-445b-8a02-75f4b93d2f65,0.0,26.0,26.0
2021-01-04,384b1f28-514a-4a8f-8cc2-f5b2f94d7d09,4.0,18.0,22.0
2021-01-04,39f04721-9871-45a8-bc2a-7c892487ba87,0.0,22.0,22.0
2021-01-04,3bbbf782-497c-4697-abda-0a88bbee1b38,2.0,41.0,43.0
2021-01-04,43215a1a-2794-4ea9-bebd-4c09a2618e6c,0.0,12.0,12.0
2021-01-04,46412e2a-6b5f-4d0c-9562-d89c01d15259,0.0,10.0,10.0
2021-01-04,47dc4136-1684-49ed-a1da-945486345c68,0.0,16.0,16.0
2021-01-04,4a94ba5f-a198-47e0-8eac-817b6991a962,0.0,3.0,3.0
2021-01-04,54a4df3e-b280-4c89-9a72-aad7f18b761b,0.0,6.0,6.0
2021-01-04,5ee1f2ed-2622-4012-8c2f-aca9f5c1af3f,3.0,45.0,48.0
2021-01-04,5f3543c7-99d3-4544-9a70-8788be90fce5,0.0,6.0,6.0
2021-01-04,658e24af-453e-4824-a049-5346a5e25964,0.0,4.0,4.0
2021-01-04,67d433c3-01fc-48b8-b86f-83c325fe51cf,1.0,46.0,47.0
2021-01-04,706652e6-6eed-4271-afe8-be8e8322e731,0.0,18.0,18.0
2021-01-04,7b71b487-8a7a-48ad-a817-0eb5b692bfe2,2.0,31.0,33.0
2021-01-04,8295dc03-9ec7-4f44-9bab-b1ea94e2eef4,0.0,3.0,3.0
2021-01-04,880c9e5b-5cb2-4662-a1db-1bbc710b7886,0.0,9.0,9.0
2021-01-04,89629d26-4538-4730-a6f1-cddda2435218,2.0,35.0,37.0
2021-01-04,8eb8a734-4ce2-4130-b334-0ba8c680cd33,0.0,24.0,24.0
2021-01-04,92fd8fe5-2f7b-4900-a902-0f5afaacd0f0,0.0,9.0,9.0
2021-01-04,94a0a068-e4b8-4e3a-8757-5d2a627d6878,0.0,3.0,3.0
2021-01-04,98503309-e842-4f88-ae02-214a481417ba,0.0,8.0,8.0
2021-01-04,9db090cf-184b-450e-a07a-97dee812ce0d,2.0,63.0,65.0
2021-01-04,9e1484a3-0235-48c5-aeed-c44451c918fa,0.0,26.0,26.0
2021-01-04,a7058bfa-97cb-4ab0-a959-a782dd3ce6a8,1.0,9.0,10.0
2021-01-04,acc05561-603e-409d-9446-4d03353d7a5c,0.0,11.0,11.0
2021-01-04,b37cc3a6-ab60-4f74-89da-f004a87d6ff4,2.0,35.0,37.0
2021-01-04,bd9a1f13-a52c-4372-a63c-1e49bd7a7bf3,2.0,20.0,22.0
2021-01-04,bdd4965b-3cb0-443a-b8de-37c86e621d6c,0.0,3.0,3.0
2021-01-04,bf2cf4ca-dac3-4515-ad33-ef66efebeab5,0.0,18.0,18.0
2021-01-04,c2dc34b5-7a9b-4dcb-85ae-b3b6c23d823e,1.0,23.0,24.0
2021-01-04,c7d5aa80-47af-45fd-95d3-c575a44806e5,0.0,8.0,8.0
2021-01-04,cd059388-fcb3-4c40-b156-2ed1962bd47b,0.0,2.0,2.0
2021-01-04,cd756fae-c3e3-4176-a4f1-3e5360718d1d,1.0,14.0,15.0
2021-01-04,d4212333-dc53-44f1-a167-d65825a1e727,0.0,6.0,6.0
2021-01-04,d8c45b45-c70a-47d6-81ba-da8e0cfac6e0,0.0,2.0,2.0
2021-01-04,db06e5e0-8f6f-45d8-92fd-92ce96992012,0.0,23.0,23.0
2021-01-04,e2adc287-86ec-4341-b43d-13cb91255662,0.0,12.0,12.0
2021-01-04,e3115277-d57b-492c-bf7a-1c432ecb473b,0.0,12.0,12.0
2021-01-04,e81b1231-55bc-488a-abf3-9bf0883430ba,1.0,12.0,13.0
2021-01-04,e9c438ac-9d37-466c-8045-494cdd5048d2,0.0,29.0,29.0
2021-01-04,ebb63a9f-bad7-486c-a79e-393b3d0589d2,0.0,3.0,3.0
2021-01-04,ebc01199-49db-4461-abc9-9c0e872a8191,0.0,6.0,6.0
2021-01-04,ece0641a-2b44-4cb1-8e31-074dd5fbb4f1,1.0,39.0,40.0
2021-01-04,f0440cc7-e404-4a2c-bb0d-baf908e9ff25,2.0,22.0,24.0
2021-01-04,f44a6715-552e-40ea-8dd5-c690313e5072,0.0,13.0,13.0
2021-01-04,f7427dbb-e87d-4ed2-b168-136c244596b2,2.0,1.0,3.0
2021-01-04,f7a11005-e09a-431b-afe9-95e8ddac81d8,5.0,23.0,28.0
2021-01-05,09415354-4eb1-4866-87bb-efffe23e196a,0.0,22.0,22.0
2021-01-05,097d4418-6d7c-4922-a703-bde5a6b64919,0.0,60.0,60.0
2021-01-05,0da8e9a5-855d-42c5-9435-d69e1019cafc,2.0,8.0,10.0
2021-01-05,0fa2e546-c292-4060-a05e-beb53fc31e72,0.0,17.0,17.0
2021-01-05,10ea7f56-d729-472f-a364-d0c796647abf,0.0,1.0,1.0
2021-01-05,18cb6e95-6073-4102-989e-1b133ac99b29,0.0,38.0,38.0
2021-01-05,19adebda-8361-4267-8ab0-7fe734377602,0.0,4.0,4.0
2021-01-05,19ae2f00-60e7-4db1-8719-644820cc04df,0.0,68.0,68.0
2021-01-05,19ae8e3b-075d-4caa-bdb7-535a971e6505,0.0,21.0,21.0
2021-01-05,1a75706d-889a-48ab-a6c7-1fbbd70aeda8,1.0,9.0,10.0
2021-01-05,1fb76d53-e58e-4e10-b5ac-1b288a87efb2,0.0,1.0,1.0
2021-01-05,23533011-6b2e-4aaf-a992-85fcf7bf04d9,0.0,54.0,54.0
2021-01-05,26178dc4-126c-40b5-aa5f-d87e9423d650,0.0,6.0,6.0
2021-01-05,29020005-046d-4f92-9999-04738b934b0f,0.0,13.0,13.0
2021-01-05,2fa0d571-e424-4ee7-ac8b-deb7792305a7,2.0,52.0,54.0
2021-01-05,33ca2840-08b5-4a3d-bad4-da63350becd9,1.0,10.0,11.0
2021-01-05,355cd89d-faa1-4620-8857-a05a24b513e3,0.0,25.0,25.0
2021-01-05,3651da1c-b313-445b-8a02-75f4b93d2f65,2.0,22.0,24.0
2021-01-05,384b1f28-514a-4a8f-8cc2-f5b2f94d7d09,1.0,19.0,20.0
2021-01-05,39f04721-9871-45a8-bc2a-7c892487ba87,0.0,14.0,14.0
2021-01-05,3bbbf782-497c-4697-abda-0a88bbee1b38,6.0,38.0,44.0
2021-01-05,41beba90-b442-453a-84fb-8674cc136653,0.0,3.0,3.0
2021-01-05,43215a1a-2794-4ea9-bebd-4c09a2618e6c,0.0,12.0,12.0
2021-01-05,4389a67a-e4bb-4b93-918b-d417078736ae,0.0,4.0,4.0
2021-01-05,4531a46a-a197-4f87-a56a-5013e21efbcb,0.0,1.0,1.0
2021-01-05,46412e2a-6b5f-4d0c-9562-d89c01d15259,0.0,9.0,9.0
2021-01-05,47dc4136-1684-49ed-a1da-945486345c68,0.0,3.0,3.0
2021-01-05,4a94ba5f-a198-47e0-8eac-817b6991a962,0.0,1.0,1.0
2021-01-05,4bb14745-4254-4247-9b84-bd4fc63583b0,0.0,1.0,1.0
2021-01-05,54a4df3e-b280-4c89-9a72-aad7f18b761b,0.0,16.0,16.0
2021-01-05,5ee1f2ed-2622-4012-8c2f-aca9f5c1af3f,2.0,52.0,54.0
2021-01-05,5f3543c7-99d3-4544-9a70-8788be90fce5,0.0,6.0,6.0
2021-01-05,658e24af-453e-4824-a049-5346a5e25964,0.0,4.0,4.0
2021-01-05,6762b0cd-12c6-4026-8886-ce15a48a6398,0.0,1.0,1.0
2021-01-05,67d433c3-01fc-48b8-b86f-83c325fe51cf,4.0,42.0,46.0
2021-01-05,706652e6-6eed-4271-afe8-be8e8322e731,2.0,21.0,23.0
2021-01-05,7b71b487-8a7a-48ad-a817-0eb5b692bfe2,1.0,30.0,31.0
2021-01-05,8295dc03-9ec7-4f44-9bab-b1ea94e2eef4,0.0,2.0,2.0
2021-01-05,880c9e5b-5cb2-4662-a1db-1bbc710b7886,0.0,12.0,12.0
2021-01-05,89629d26-4538-4730-a6f1-cddda2435218,0.0,28.0,28.0
2021-01-05,8eb8a734-4ce2-4130-b334-0ba8c680cd33,0.0,14.0,14.0
2021-01-05,92fd8fe5-2f7b-4900-a902-0f5afaacd0f0,0.0,20.0,20.0
2021-01-05,94a0a068-e4b8-4e3a-8757-5d2a627d6878,0.0,4.0,4.0
2021-01-05,98503309-e842-4f88-ae02-214a481417ba,3.0,5.0,8.0
2021-01-05,9db090cf-184b-450e-a07a-97dee812ce0d,3.0,31.0,34.0
2021-01-05,9e1484a3-0235-48c5-aeed-c44451c918fa,0.0,24.0,24.0
2021-01-05,a7058bfa-97cb-4ab0-a959-a782dd3ce6a8,0.0,14.0,14.0
2021-01-05,acc05561-603e-409d-9446-4d03353d7a5c,2.0,14.0,16.0
2021-01-05,b37cc3a6-ab60-4f74-89da-f004a87d6ff4,2.0,9.0,11.0
2021-01-05,bd9a1f13-a52c-4372-a63c-1e49bd7a7bf3,2.0,14.0,16.0
2021-01-05,bdd4965b-3cb0-443a-b8de-37c86e621d6c,0.0,1.0,1.0
2021-01-05,bf2cf4ca-dac3-4515-ad33-ef66efebeab5,0.0,21.0,21.0
2021-01-05,c2dc34b5-7a9b-4dcb-85ae-b3b6c23d823e,0.0,19.0,19.0
2021-01-05,c7d5aa80-47af-45fd-95d3-c575a44806e5,0.0,7.0,7.0
2021-01-05,cd059388-fcb3-4c40-b156-2ed1962bd47b,0.0,3.0,3.0
2021-01-05,cd756fae-c3e3-4176-a4f1-3e5360718d1d,7.0,24.0,31.0
2021-01-05,d4212333-dc53-44f1-a167-d65825a1e727,0.0,4.0,4.0
2021-01-05,d8c45b45-c70a-47d6-81ba-da8e0cfac6e0,0.0,5.0,5.0
2021-01-05,d9f64a07-9c47-4f6e-8bbe-a473a688a735,0.0,13.0,13.0
2021-01-05,db06e5e0-8f6f-45d8-92fd-92ce96992012,0.0,12.0,12.0
2021-01-05,e2adc287-86ec-4341-b43d-13cb91255662,0.0,14.0,14.0
2021-01-05,e3115277-d57b-492c-bf7a-1c432ecb473b,1.0,6.0,7.0
2021-01-05,e81b1231-55bc-488a-abf3-9bf0883430ba,0.0,16.0,16.0
2021-01-05,e97d489f-0cea-4cc3-a049-651da1b567b9,0.0,2.0,2.0
2021-01-05,e9c438ac-9d37-466c-8045-494cdd5048d2,0.0,36.0,36.0
2021-01-05,ebb63a9f-bad7-486c-a79e-393b3d0589d2,0.0,3.0,3.0
2021-01-05,ebc01199-49db-4461-abc9-9c0e872a8191,0.0,6.0,6.0
2021-01-05,ece0641a-2b44-4cb1-8e31-074dd5fbb4f1,0.0,37.0,37.0
2021-01-05,f0440cc7-e404-4a2c-bb0d-baf908e9ff25,0.0,20.0,20.0
2021-01-05,f44a6715-552e-40ea-8dd5-c690313e5072,0.0,16.0,16.0
2021-01-05,f7a11005-e09a-431b-afe9-95e8ddac81d8,4.0,30.0,34.0
2021-01-06,01811bcf-ec5b-4a02-a64a-0ac551f9d0ac,0.0,16.0,16.0
2021-01-06,09415354-4eb1-4866-87bb-efffe23e196a,0.0,38.0,38.0
2021-01-06,097d4418-6d7c-4922-a703-bde5a6b64919,0.0,38.0,38.0
2021-01-06,0da8e9a5-855d-42c5-9435-d69e1019cafc,0.0,9.0,9.0
2021-01-06,0fa2e546-c292-4060-a05e-beb53fc31e72,0.0,11.0,11.0
2021-01-06,18cb6e95-6073-4102-989e-1b133ac99b29,0.0,21.0,21.0
2021-01-06,19adebda-8361-4267-8ab0-7fe734377602,1.0,1.0,2.0
2021-01-06,19ae2f00-60e7-4db1-8719-644820cc04df,2.0,48.0,50.0
2021-01-06,19ae8e3b-075d-4caa-bdb7-535a971e6505,1.0,17.0,18.0
2021-01-06,1a75706d-889a-48ab-a6c7-1fbbd70aeda8,1.0,21.0,22.0
2021-01-06,23533011-6b2e-4aaf-a992-85fcf7bf04d9,0.0,34.0,34.0
2021-01-06,26178dc4-126c-40b5-aa5f-d87e9423d650,0.0,5.0,5.0
2021-01-06,29020005-046d-4f92-9999-04738b934b0f,0.0,28.0,28.0
2021-01-06,2fa0d571-e424-4ee7-ac8b-deb7792305a7,2.0,33.0,35.0
2021-01-06,33ca2840-08b5-4a3d-bad4-da63350becd9,0.0,23.0,23.0
2021-01-06,355cd89d-faa1-4620-8857-a05a24b513e3,0.0,21.0,21.0
2021-01-06,3651da1c-b313-445b-8a02-75f4b93d2f65,0.0,22.0,22.0
2021-01-06,384b1f28-514a-4a8f-8cc2-f5b2f94d7d09,2.0,22.0,24.0
2021-01-06,39f04721-9871-45a8-bc2a-7c892487ba87,0.0,16.0,16.0
2021-01-06,3bbbf782-497c-4697-abda-0a88bbee1b38,6.0,62.0,68.0
2021-01-06,43215a1a-2794-4ea9-bebd-4c09a2618e6c,0.0,14.0,14.0
2021-01-06,46412e2a-6b5f-4d0c-9562-d89c01d15259,0.0,15.0,15.0
2021-01-06,46f21f5d-d871-4776-a6b5-3ace3ee9ddd0,0.0,8.0,8.0
2021-01-06,47dc4136-1684-49ed-a1da-945486345c68,0.0,9.0,9.0
2021-01-06,4a94ba5f-a198-47e0-8eac-817b6991a962,0.0,1.0,1.0
2021-01-06,4bb14745-4254-4247-9b84-bd4fc63583b0,0.0,6.0,6.0
